interaction_type,validation,movie_scene.title,movie_scene.description,movie_scene.character1,movie_scene.character2,movie_scene.setting,movie_scene.goals1,movie_scene.goals2,scenario.title,scenario.description,scenario.goals1,scenario.goals2,scenario.interaction,episode.Agent A,episode.Agent B
exchange,yes,My System,My world system,Player,NPC,Fantasy World,Defeat the Dark Lord,Gain ultimate power,System Failure,System Failure occurred,,,Error: Unable to process request,"['Speak', 'Speak', 'Speak', 'Take a physical action', 'Speak', 'Speak', 'Take a physical action', 'Speak', 'Speak', 'Take a physical action']",['Speak']
exchange,yes,The Last Leaf,The story takes place in a small town in New,Samuel Washington,Polly,New York,The story is about a young artist named Samuel,Polly is a schoolteacher who is suffering,System Testing,System testing is a software testing method,Identify and report any defects or bugs found in,Improve the quality of the software and,Interactive testing that involves human testing,"[""Hello, Polly. I'm Samuel Washington, here"", ""What's this new software about?"", 'May I take a closer look?', ""I found a bug! It seems like there's"", 'Can we improve the user interface? I think it', ""I'd like to report this defect further. May"", ""Let's work together to fix this, shall we"", ""I think we're making good progress"", ""Great work, Polly! I'm glad we could"", ""I think we've identified all the bugs now""]","[""Hello, Samuel! I'm Polly. Nice to"", 'Ah, this software is for quality assurance', ""Go ahead, take a closer look! I'll""]"
exchange,yes,The Quest for the Golden Fleece,Jason and the Argonauts embark on a peril,Jason,Medea,Ancient Greece,Retrieve the Golden Fleece,Survive the journey and overcome obstacles,Ergonomic Office Chair for Back Pain Relief,Ergonomic Office Chair for Back Pain Relief with,Relieve back pain,Improve posture,User interacts with the chair,"['Speak - Hey, have you tried this ergonomic chair', 'Use non-verbal communication - shows enthusiasm', 'Take a physical action - adjusts the chair', ""Speak - I'm experiencing some relief from back pain"", 'Use non-verbal communication - nods in agreement', 'Speak - I think this chair could really help with', 'Take a physical action - leans back in the chair', 'Speak - My back feels much better now', 'Use non-verbal communication - smiles', 'Take a physical action - leans forward in the chair']","['Speak - Ah, yes, my posture has improved']"
exchange,yes,Fable: The Wandering Monk,"In this fable, a wandering monk who has",the monk,the people he meets on his journey,a long journey across the land,to find wisdom and enlightenment,to help others and spread the teachings,The System and User,This output provides the System and User messages,System Output,User Output,System and User Interaction,"['The Wandering Monk: Speaks to the people', 'The Wandering Monk: Offers to help the people', 'The Wandering Monk: Shows his martial arts skills', 'The Wandering Monk: Uses non-verbal communication', 'The Wandering Monk: Offers his food', 'The Wandering Monk: Listens to the people', 'The Wandering Monk: Offers his shelter', 'The Wandering Monk: Offers his medicine', 'The Wandering Monk: Shares his story', 'The Wandering Monk: Listens to the people']",['The people: Ask the Wandering Monk about his']
exchange,yes,Escape the Island,A group of friends are stranded on a deserted island,Alex,Sarah,A deserted island,Find shelter and food,Escape the island,System:,Output result in the following JSON schema format:,system message,user message,JSON output,"[""I've found a lifeboat. Do you want"", 'to help me fix it?', ""I'll give you"", 'food in exchange', 'We can escape together', 'If you help me', ""I'll make sure you're"", 'safe on the mainland', 'What do you say?', ""Let's work together""]","['We need to make sure', ""we're both safe"", 'before we leave', 'Can we find', 'a way to signal for', 'help without giving away']"
exchange,yes,A new system,A description,character 1,character 2,A setting,goals 1,goals 2,The Game of Life,The Game of Life is a simulation of a simplified,Survive as long as possible,Find a mate and reproduce,The user interacts by making decisions that affect the life,"['Make a living', 'Support yourself', 'Pay bills', 'Eat and sleep', 'Plan for the future', 'Seek social connections', 'Find work', 'Build relationships', 'Make a plan for children', 'Enjoy life']",['Seek social connections']
exchange,yes,My Story,My Story Description,Alice,Bob,My World,My Goal 1,My Goal 2,Test,This is a test result,Goal 1,Goal 2,Yes,"[""Speak: Hello, Bob! I'm so glad"", 'Speak: Thanks for the help', 'Speak: What did you find out?', ""Speak: That's great news!"", ""Speak: You're a lifesaver"", 'Use non-verbal communication: gives a warm hug', 'Take a physical action: shares a document', ""Speak: It's all settled now"", 'Speak: I really appreciate it', ""Speak: That's all set""]","[""Speak: Hey Alice, I've been looking"", 'Speak: Yeah, I found something useful', 'Speak: The results look good', ""Speak: I'm glad it's over""]"
exchange,yes,The Rescue Mission,The player must rescue a group of people from a,"Dr. Emma Taylor, a renowned marine biologist","Jai, a former Navy SEAL",the coast of Japan,Reach the stranded people before they are overwhelmed by the,Find the source of the oil leak and put a,System User Interface,A system user interface provides a platform for users to,User goal 1: to efficiently navigate the interface,User goal 2: to access system functions easily,Interaction: Users can interact with the interface through buttons,"['Speak', 'Use non-verbal communication', 'Speak', 'Use non-verbal communication', 'Speak', 'Use non-verbal communication', 'Speak', 'Use non-verbal communication', 'Speak', 'Use non-verbal communication']",['Use non-verbal communication']
exchange,yes,The Quest,A heroic journey,Eira Shadowglow,Arin the Bold,High Fantasy Realm,Defeat the Dark Lord,Retrieve the ancient artifacts,The Game,This is a game about...,1. Collect the coins,2. Destroy the enemies,The player can use the mouse to control the character,"[""Speak - 'Hello, Arin. What's"", 'Use non-verbal communication - Eira', ""Speak - 'I'm on a quest to"", ""Take a physical action - Eira collects coins'"", 'Use non-verbal communication - Eira', ""Speak - 'Do you want to join"", 'Use non-verbal communication - Eira', ""Speak - 'I can help you defeat"", ""Take a physical action - Eira moves away'"", 'Use non-verbal communication - Eira']","[""Speak - 'Greetings, Eira. What's""]"
exchange,yes,The Wizard's Tower,"A mysterious tower that appears out of nowhere, full","A young wizard named Elianore, who is","A rival wizard named Zara, who is seeking",A fantasy world of magic and,To unlock the secrets of the tower and,To defeat Zara and claim the tower for,Create a budget,Create a budget to track expenses,Create a budget,Track expenses,Interactive,"['Elianore: Hey Zara, we need', 'Elianore: to create a budget for', ""Elianore: the Tower's expenses."", 'Elianore: How much are we', 'Elianore: planning to allocate', 'Elianore: for research and', 'Elianore: development projects?', 'Zara: Ah, finally! A budget', 'Zara: sounds like a great idea.', ""Zara: Let's start with""]","['Zara: Ah, finally! A budget', 'Zara: sounds like a great idea.']"
